axis,value,description
BLOCKER,38,1
CRITICAL,110,1
MAJOR,2112,1
MINOR,528,1
INFO,2,1
BLOCKER,38,2
CRITICAL,110,2
MAJOR,2112,2
MINOR,528,2
INFO,2,2
BLOCKER,37,3
CRITICAL,150,3
MAJOR,2657,3
MINOR,682,3
INFO,45,3
BLOCKER,52,4
CRITICAL,194,4
MAJOR,3745,4
MINOR,1099,4
INFO,47,4
BLOCKER,38,5
CRITICAL,218,5
MAJOR,3853,5
MINOR,1201,5
INFO,47,5
BLOCKER,46,6
CRITICAL,305,6
MAJOR,5150,6
MINOR,1780,6
INFO,52,6
BLOCKER,39,7
CRITICAL,263,7
MAJOR,5226,7
MINOR,1770,7
INFO,52,7
BLOCKER,41,8
CRITICAL,266,8
MAJOR,5257,8
MINOR,1771,8
INFO,52,8
BLOCKER,38,9
CRITICAL,255,9
MAJOR,5099,9
MINOR,1760,9
INFO,52,9
BLOCKER,39,10
CRITICAL,277,10
MAJOR,4685,10
MINOR,1823,10
INFO,50,10
BLOCKER,39,11
CRITICAL,276,11
MAJOR,4523,11
MINOR,1828,11
INFO,50,11
