key,project,value
Rework Time,1,0.070537332083724
Rework Time,2,0.10594189315839
Rework Time,3,0.062858481724461
Rework Time,4,0.085645110902843
Rework Time,5,0.11224929709466
Rework Time,6,0.12966572945954
Rework Time,7,0.156104342393
Rework Time,8,0.16239300218682
Rework Time,9,0.16885348328647
Rework Time,10,0.1961262105592
Rework Time,11,0.2010934083099
Amount,1,0.22399250234302
Amount,2,0.31134020618557
Amount,3,0.31340206185567
Amount,4,0.40037488284911
Amount,5,0.54639175257732
Amount,6,0.62586691658857
Amount,7,0.74620431115276
Amount,8,0.7688847235239
Amount,9,0.82455482661668
Amount,10,0.97806935332709
Amount,11,1
Blocker,1,0.00074976569821931
Blocker,2,0.00074976569821931
Blocker,3,0.00037488284910965
Blocker,4,0.00037488284910965
Blocker,5,0.00037488284910965
Blocker,6,0.00056232427366448
Blocker,7,0.00093720712277413
Blocker,8,0.0018744142455483
Blocker,9,0.0020618556701031
Blocker,10,0.0022492970946579
Blocker,11,0.0020618556701031
Critical,1,0.00093720712277413
Critical,2,0.00074976569821931
Critical,3,0
Critical,4,0.00037488284910965
Critical,5,0.00037488284910965
Critical,6,0.0044985941893158
Critical,7,0.0048734770384255
Critical,8,0.0052483598875351
Critical,9,0.0056232427366448
Critical,10,0.0022492970946579
Critical,11,0.0020618556701031
Major,1,0.14301780693533
Major,2,0.19681349578257
Major,3,0.18500468603561
Major,4,0.23861293345829
Major,5,0.34545454545455
Major,6,0.39456419868791
Major,7,0.47478912839738
Major,8,0.48228678537957
Major,9,0.51583880037488
Major,10,0.56476101218369
Major,11,0.57357075913777
Minor,1,0.073477038425492
Minor,2,0.10740393626992
Minor,3,0.12371134020619
Minor,4,0.14976569821931
Minor,5,0.19231490159325
Minor,6,0.21836925960637
Minor,7,0.25567010309278
Minor,8,0.26897844423618
Minor,9,0.29053420805998
Minor,10,0.39887535145267
Minor,11,0.4116213683224
Info,1,0.0035613870665417
Info,2,0.0033739456419869
Info,3,0.0020618556701031
Info,4,0.0089971883786317
Info,5,0.0056232427366448
Info,6,0.0056232427366448
Info,7,0.0076850984067479
Info,8,0.0082474226804124
Info,9,0.0082474226804124
Info,10,0.0076850984067479
Info,11,0.0084348641049672
