key,project,value,severity
821,1,1,CRITICAL
821,2,1,CRITICAL
821,3,0,CRITICAL
821,4,0,CRITICAL
821,5,0,CRITICAL
821,6,0,CRITICAL
821,7,0,CRITICAL
821,8,0,CRITICAL
821,9,0,CRITICAL
821,10,0,CRITICAL
821,11,0,CRITICAL
785,1,16,CRITICAL
785,2,16,CRITICAL
785,3,16,CRITICAL
785,4,16,CRITICAL
785,5,4,CRITICAL
785,6,4,CRITICAL
785,7,0,CRITICAL
785,8,0,CRITICAL
785,9,0,CRITICAL
785,10,0,CRITICAL
785,11,0,CRITICAL
825,1,1,CRITICAL
825,2,1,CRITICAL
825,3,1,CRITICAL
825,4,0,CRITICAL
825,5,0,CRITICAL
825,6,0,CRITICAL
825,7,0,CRITICAL
825,8,0,CRITICAL
825,9,0,CRITICAL
825,10,0,CRITICAL
825,11,0,CRITICAL
772,1,1,CRITICAL
772,2,1,CRITICAL
772,3,1,CRITICAL
772,4,0,CRITICAL
772,5,0,CRITICAL
772,6,0,CRITICAL
772,7,0,CRITICAL
772,8,0,CRITICAL
772,9,0,CRITICAL
772,10,0,CRITICAL
772,11,0,CRITICAL
817,1,4,CRITICAL
817,2,2,CRITICAL
817,3,0,CRITICAL
817,4,0,CRITICAL
817,5,0,CRITICAL
817,6,0,CRITICAL
817,7,0,CRITICAL
817,8,0,CRITICAL
817,9,0,CRITICAL
817,10,0,CRITICAL
817,11,0,CRITICAL
827,1,1,CRITICAL
827,2,2,CRITICAL
827,3,1,CRITICAL
827,4,1,CRITICAL
827,5,1,CRITICAL
827,6,1,CRITICAL
827,7,1,CRITICAL
827,8,3,CRITICAL
827,9,4,CRITICAL
827,10,2,CRITICAL
827,11,2,CRITICAL
631,1,2,CRITICAL
631,2,2,CRITICAL
631,3,2,CRITICAL
631,4,3,CRITICAL
631,5,3,CRITICAL
631,6,3,CRITICAL
631,7,3,CRITICAL
631,8,3,CRITICAL
631,9,3,CRITICAL
631,10,0,CRITICAL
631,11,0,CRITICAL
689,1,1,CRITICAL
689,2,1,CRITICAL
689,3,1,CRITICAL
689,4,1,CRITICAL
689,5,1,CRITICAL
689,6,1,CRITICAL
689,7,0,CRITICAL
689,8,0,CRITICAL
689,9,0,CRITICAL
689,10,0,CRITICAL
689,11,0,CRITICAL
720,1,1,CRITICAL
720,2,1,CRITICAL
720,3,1,CRITICAL
720,4,6,CRITICAL
720,5,6,CRITICAL
720,6,6,CRITICAL
720,7,7,CRITICAL
720,8,7,CRITICAL
720,9,7,CRITICAL
720,10,0,CRITICAL
720,11,0,CRITICAL
